Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions
800-822 Thieriot Ave.,10473,880,THIERIOT AVENUE,Multifamily Housing,Multifamily Housing,176434.0,1968,1,100,37.0,35.4,7.5,0.1,,,40.823093,-73.862394,534.2,94.9,439.3
880 Thieriot Ave.,10473,880,THIERIOT AVENUE,Multifamily Housing,Multifamily Housing,176434.0,1968,1,100,34.8,33.8,7.2,0.1,,,40.823093,-73.862394,504.2,87.8,416.3
1001-1005 E. Tremont Ave.,10460,999,EAST TREMONT AVENUE,Multifamily Housing,Multifamily Housing,94656.0,1972,1,100,86.4,90.5,5.9,0.7,,,40.840769,-73.881697,515.2,326.8,188.4
999 East Tremont Avenue,10460,999,EAST TREMONT AVENUE,Multifamily Housing,Multifamily Housing,37964.0,1972,1,100,109.0,115.3,7.0,0.9,,,40.840769,-73.881697,258.0,168.7,89.3
990-1000 178th Street,10460,999,EAST TREMONT AVENUE,Multifamily Housing,Multifamily Housing,112796.0,1972,1,100,133.2,138.7,3.9,1.3,,,40.840769,-73.881697,859.8,714.8,145.0
999 East 178th Street,10460,998,EAST 179 STREET,Multifamily Housing,Multifamily Housing,100569.0,1972,1,100,136.4,141.0,2.7,1.3,,,40.842123,-73.880028,772.2,670.8,101.4
1001-1005 East 178th Street,10460,2008,BRYANT AVENUE,Multifamily Housing,Multifamily Housing,119786.0,1972,1,100,131.2,136.4,3.9,1.2,,,40.841714,-73.880538,902.1,743.9,158.2
1000 - 1010 East 179th Street (Building 7&8),10460,2008,BRYANT AVENUE,Multifamily Housing,Multifamily Housing,104659.0,1972,1,100,89.9,94.8,6.3,0.7,,,40.841714,-73.880538,593.8,373.5,220.3
2520 Amsterdam Ave,10005,2520,AMSTERDAM AVENUE,College/University,College/University,110677.0,1967,1,100,38.3,38.3,11.2,,1299.9,11.74,40.850675,-73.929092,393.4,0.0,393.4
2540 amsterdam ave,10005,2540,AMSTERDAM AVENUE,College/University,College/University,119715.0,1929,1,100,43.1,43.3,11.6,0.0,738.5,6.17,40.851292,-73.928592,462.3,21.9,440.4
245-10 Grand Central Parkway,11426,245-10,GRND CNTRL PKWY SR S,Multifamily Housing,Multifamily Housing,107483.0,1966,1,100,25.9,25.5,6.7,0.0,5164.6,48.05,,,247.5,14.7,232.8
245-20 Grand Central Parkway,11426,245-10,GRND CNTRL PKWY SR S,Multifamily Housing,Multifamily Housing,86069.0,1966,1,100,17.2,17.0,4.3,0.0,3584.7,41.65,,,130.4,9.7,120.6
245-30 Grand Central Parkway,11426,245-10,GRND CNTRL PKWY SR S,Multifamily Housing,Multifamily Housing,86303.0,1966,1,100,21.2,20.8,5.3,0.0,2823.9,32.72,,,159.8,13.0,146.8
57 Worth Street ,10013,57,WORTH STREET,Office,Office,60852.0,1928,1,100,83.5,88.2,13.0,,2352.7,38.66,40.717231,-74.006565,408.4,0.0,408.4
55 Worth Stret ,10013,,,Office,Office,49000.0,1915,1,100,92.7,97.5,12.6,,396.9,8.1,,,358.5,0.0,358.5
3041 Broadway,10027,97,CLAREMONT AVENUE,Residence Hall/Dormitory,Residence Hall/Dormitory,78397.0,1930,1,100,16.4,16.0,3.8,0.0,,,40.811633,-73.962571,110.5,11.9,98.6
3041 Broadway,10027,3041,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,155000.0,1909,1,100,,,,,,,40.810755,-73.961907,0.0,0.0,0.0
304-310 East 12th Street,10003,304,EAST 12 STREET,Multifamily Housing,Multifamily Housing,40320.0,1940,1,100,102.0,105.2,5.0,0.6,3192.5,79.18,40.730833,-73.985492,270.5,205.2,65.3
301-309 East 11th Street,10003,304,EAST 12 STREET,Multifamily Housing,Multifamily Housing,33120.0,1940,1,100,65.6,65.1,4.4,0.4,,,40.730833,-73.985492,142.0,94.2,47.8
350 Sheffield Ave,112074037,,,Multifamily Housing,Multifamily Housing,59390.0,1975,1,100,135.6,140.9,9.8,1.1,,,,,506.1,322.5,183.6
1607 Nelson Avenue,10453,1601,NELSON AVENUE,Other - Lodging/Residential,Other - Lodging/Residential,26750.0,1994,1,100,,,,,,,40.846181,-73.919642,0.0,0.0,0.0
1609 Nelson Avenue,10453,1601,NELSON AVENUE,Other - Lodging/Residential,Other - Lodging/Residential,26750.0,1994,1,100,,,,,,,40.846181,-73.919642,0.0,0.0,0.0
1611 Nelson Avenue,10453,1601,NELSON AVENUE,Other - Lodging/Residential,Other - Lodging/Residential,26750.0,1994,1,100,,,,,,,40.846181,-73.919642,0.0,0.0,0.0
13-25 Eggert Place,11691,23-34,MOTT AVENUE,Multifamily Housing,Multifamily Housing,104463.0,1949,1,100,22.6,22.6,0.1,0.2,,,,,126.8,123.5,3.3
13-18/22/26/32 Dickens St,11691,23-34,MOTT AVENUE,Multifamily Housing,Multifamily Housing,104463.0,1949,1,100,24.3,26.1,0.1,0.3,,,,,136.0,132.9,3.1
26 Beaver St.,10004,26,BEAVER STREET,Multifamily Housing,Multifamily Housing,52091.0,1909,1,100,76.9,82.4,4.7,0.7,15.9,0.29,40.704959,-74.011902,255.5,174.9,80.6
"1 Broadway, New York",10004,1,BROADWAY,Other,Office,220000.0,1882,1,100,56.4,56.1,11.7,0.0,2483.5,11.29,40.704785,-74.014099,1083.8,266.4,817.3
450 North End Avenue,10282,201,WARREN STREET,Multifamily Housing,Multifamily Housing,185816.0,1997,1,100,82.4,85.9,10.7,0.5,,,40.716668,-74.013542,1104.3,449.2,655.2
377 Rector Place,10280,377,RECTOR PLACE,Multifamily Housing,Multifamily Housing,197941.0,1985,1,100,75.2,79.2,7.0,0.6,9471.8,47.56,40.709506,-74.018002,990.0,534.4,455.6
320-350 Albany Street,10280,320,ALBANY STREET,Multifamily Housing,Multifamily Housing,150221.0,1986,1,100,68.3,70.7,7.0,0.2,,,40.710165,-74.016751,783.2,440.4,342.9
250 South End Avenue,10280,250,SOUTH END AVENUE,Multifamily Housing,Multifamily Housing,116000.0,1987,1,100,81.2,85.6,7.3,0.6,,,40.709709,-74.01656,626.5,342.0,284.5
300 Albany Street,10280,300,ALBANY STREET,Multifamily Housing,Multifamily Housing,108016.0,1986,1,100,74.0,76.8,9.3,0.4,4500.8,40.07,40.710118,-74.016574,586.2,247.2,339.1
380 Rector Place,10280,380,RECTOR PLACE,Multifamily Housing,Multifamily Housing,234119.0,1986,1,100,98.7,102.9,8.0,0.8,13158.2,55.91,40.709311,-74.017764,1499.2,880.1,619.1
280 Rector Place,10280,280,RECTOR PLACE,Multifamily Housing,Multifamily Housing,110896.0,1985,1,100,75.3,78.4,7.2,0.5,4962.4,44.55,40.708921,-74.016505,558.9,294.5,264.4
300 Rector Place,10280,300,RECTOR PLACE,Multifamily Housing,Multifamily Housing,160468.0,1986,1,100,60.7,64.3,5.6,0.5,,,40.709097,-74.017104,656.3,358.1,298.2
21 South End Avenue,10280,21,SOUTH END AVENUE,Multifamily Housing,Multifamily Housing,196798.0,1988,1,100,98.7,101.5,12.6,0.6,13055.0,57.95,40.708114,-74.01763,1573.8,654.1,919.8
2 South End Avenue,10280,2,SOUTH END AVENUE,Multifamily Housing,Multifamily Housing,132184.0,1988,1,100,108.6,113.3,11.4,0.7,,,40.708037,-74.017656,1099.1,546.8,552.3
333 Rector Place,10280,333,RECTOR PLACE,Multifamily Housing,Multifamily Housing,205992.0,1986,1,100,83.9,83.0,9.8,0.5,,,40.709448,-74.017252,1239.8,559.4,680.4
594 Broadway,10012,592,BROADWAY,Office,Office,230740.0,1900,1,100,59.8,61.9,12.1,0.0,3938.0,17.07,40.724916,-73.997193,1190.2,283.0,907.2
32 Broadway,10006,32,BROADWAY,Office,Office,142990.0,1900,1,100,98.5,97.9,17.1,0.1,,,40.706045,-74.013096,1169.7,384.7,785.0
76 Beaver Street,10005,76,BEAVER STREET,Office,Office,84827.0,1931,1,100,90.5,,11.8,,1404.1,15.03,40.705324,-74.008873,548.8,,548.8
1 Wall Street Ct,10005,82,BEAVER STREET,Multifamily Housing,Multifamily Housing,82073.0,1987,1,100,65.6,68.8,10.3,0.3,,,40.70536,-74.008602,514.2,168.0,346.2
130 Water Street,10005,130,WATER STREET,Multifamily Housing,Multifamily Housing,89504.0,1956,1,100,113.9,118.4,15.7,0.1,6939.7,71.05,40.705522,-74.006929,897.3,402.1,495.2
56 Pine Street,10005,56,PINE STREET,Multifamily Housing,Multifamily Housing,83916.0,2004,1,100,96.0,102.8,12.2,,,,40.706606,-74.008404,650.7,0.0,650.7
315 Spring St,11367,515,GREENWICH STREET,Office,Office,59650.0,1900,1,100,48.9,47.9,8.3,0.0,382.0,6.4,,,248.9,87.1,161.8
"30 Wall Street, New York",10005,30,WALL STREET,Other,Office,96245.0,1954,1,100,76.1,78.0,16.2,,,,40.706839,-74.010218,905.0,0.0,905.0
125 Cedar Street,10006,120,LIBERTY STREET,Multifamily Housing,Multifamily Housing,50445.0,1900,1,100,84.0,89.8,6.2,,1465.0,25.28,40.71002,-74.012408,388.6,270.7,118.0
"114 Liberty Street, New York",10006,114,LIBERTY STREET,Multifamily Housing,Multifamily Housing,60218.0,1900,1,100,141.2,145.9,13.4,1.0,239.2,3.7,40.709938,-74.012235,606.1,323.9,282.3
110-112 GREENWICH STREET,10006,110,GREENWICH STREET,Multifamily Housing,Multifamily Housing,54941.0,1929,1,100,93.5,99.4,6.3,0.8,,,40.70856,-74.013349,337.6,221.3,116.4
120 Greenwich St.,10006,120,GREENWICH STREET,Multifamily Housing,Multifamily Housing,67009.0,1903,1,100,116.4,116.4,14.6,0.1,,,40.709089,-74.013118,629.6,317.1,312.4
75 West Street,10006,71,WEST STREET,Multifamily Housing,Multifamily Housing,250471.0,1926,1,100,69.7,73.1,9.9,0.4,,,40.709037,-74.015109,1263.8,476.6,787.2
160 BROADWAY,10038,160,BROADWAY,Office,Office,145000.0,1908,1,100,105.0,112.5,15.2,0.1,,,40.709493,-74.01024,1261.1,551.2,709.8
166 Broadway,10038,170,BROADWAY,Hotel,Hotel,55000.0,1902,1,100,116.3,123.1,9.8,0.9,,,40.709669,-74.010092,412.7,242.0,170.6
15 Maiden Lane,10038,15,MAIDEN LANE,Office,Office,134840.0,1908,1,100,57.1,59.2,10.5,,,,40.709482,-74.009356,687.7,0.0,687.7
11 Maiden Lane,10038,9,MAIDEN LANE,Multifamily Housing,Multifamily Housing,53562.0,1900,1,100,137.0,,,,,,40.709606,-74.009555,508.6,393.5,115.0
176 Broadway,10038,176,BROADWAY,Multifamily Housing,Multifamily Housing,159000.0,1927,1,100,61.5,65.1,7.9,0.4,,,40.709932,-74.009869,786.3,323.2,463.1
15 Gold Street,10038,15,GOLD STREET,Hotel,Hotel,71539.0,1999,1,100,93.2,97.3,15.3,0.4,,,40.707753,-74.006918,503.8,153.7,350.1
80 John Street,10038,80,JOHN STREET,Multifamily Housing,Multifamily Housing,135466.0,1927,1,100,,,,,,,40.708445,-74.006886,,,
90 William Street,10038,90,WILLIAM STREET,Multifamily Housing,Multifamily Housing,112074.0,1967,1,100,,,,,,,40.708184,-74.007787,,,
40 Gold Street,10038,40,GOLD STREET,Multifamily Housing,Multifamily Housing,51895.0,2009,1,100,58.0,60.5,7.4,0.4,1648.0,25.16,40.708774,-74.005872,270.1,109.9,160.3
15 Cliff Street,10038,15,CLIFF STREET,Multifamily Housing,Multifamily Housing,142626.0,2000,1,100,94.0,,4.4,0.8,6749.4,47.32,40.708143,-74.00545,808.2,598.4,209.8
135 William Street,10038,135,WILLIAM STREET,Multifamily Housing,Multifamily Housing,62462.0,1905,1,100,53.8,57.7,6.1,0.4,,,40.709359,-74.006644,230.3,109.3,121.1
55 John St,10038,55,JOHN STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,115488.0,1900,1,100,39.8,39.2,10.9,0.0,,,40.708988,-74.007654,417.3,12.7,404.6
59 John Street,10038,111,WILLIAM STREET,Multifamily Housing,Multifamily Housing,99754.0,1909,1,100,93.8,97.1,10.8,0.1,,,40.708763,-74.007243,713.5,24.8,688.7
"45 John St, New York, NY 10038",10038,45,JOHN STREET,Multifamily Housing,Multifamily Housing,86999.0,1908,1,100,20.8,20.8,6.1,,,,40.709241,-74.008,167.5,0.0,167.5
130 Fulton Street,10038,130,FULTON STREET,Multifamily Housing,Multifamily Housing,79470.0,1900,1,100,80.0,83.6,11.6,0.4,3885.4,48.89,40.710372,-74.008062,462.7,170.1,292.6
71 & 73 Nassau Street,10038,71,NASSAU STREET,Multifamily Housing,Multifamily Housing,75314.0,1906,1,100,41.2,44.0,4.5,0.3,,,40.709639,-74.008325,210.9,103.1,107.8
20 Vesey Street,10007,20,VESEY STREET,Office,Office,80500.0,1907,1,100,85.5,93.2,12.6,,1498.4,17.95,40.711843,-74.009562,602.4,260.1,342.3
139 Fulton Street,10038,99,NASSAU STREET,Office,Office,100000.0,1883,1,100,73.5,72.1,11.4,,2519.0,25.19,40.710531,-74.007441,620.9,245.8,375.1
57 Beekman Street,10038,57,BEEKMAN STREET,Multifamily Housing,Multifamily Housing,80000.0,1973,1,100,33.6,36.8,10.8,,3955.0,49.44,40.709858,-74.00505,249.4,0.0,249.4
140 Nassau Street,10038,138,NASSAU STREET,Multifamily Housing,Multifamily Housing,73779.0,1901,1,100,74.1,80.1,6.3,0.6,1601.7,20.17,40.711288,-74.006374,380.1,222.1,158.0
145 Nassau Street,10038,36,PARK ROW,Multifamily Housing,Multifamily Housing,100369.0,1900,1,100,80.1,86.2,8.8,0.6,3487.3,31.22,40.711763,-74.006857,608.6,296.4,312.2
11 Park Place,10007,11,PARK PLACE,Office,Office,213484.0,1926,1,100,78.9,77.7,10.9,0.1,4926.0,22.33,40.712828,-74.008296,1400.9,612.2,788.7
53 Park Place,10007,53,PARK PLACE,Multifamily Housing,Multifamily Housing,145000.0,1921,1,100,56.9,56.9,4.5,0.4,,,40.713764,-74.010356,527.4,319.5,207.9
275 Greenwich Street,10280,275,GREENWICH STREET,Multifamily Housing,Multifamily Housing,138550.0,1986,1,100,90.5,91.9,12.6,0.3,,,40.715221,-74.01124,1027.7,427.3,600.4
71 Murray Street,10007,71,MURRAY STREET,Multifamily Housing,Multifamily Housing,46332.0,2001,1,100,82.5,87.8,9.7,0.5,1144.5,23.17,40.714582,-74.010569,281.6,129.3,152.3
"258 Broadway, New York",10017,258,BROADWAY,Multifamily Housing,Multifamily Housing,100810.0,1915,1,100,68.2,67.7,6.4,0.5,,,40.713564,-74.006828,499.5,270.2,229.2
9 Murray Street,10007,9,MURRAY STREET,Multifamily Housing,Multifamily Housing,121028.0,1900,1,100,63.7,,,,2383.3,19.69,40.713314,-74.007759,638.0,283.3,354.7
25 Murray Street,10007,25,MURRAY STREET,Multifamily Housing,Multifamily Housing,144330.0,1930,1,100,66.8,68.9,11.3,0.3,,,40.713588,-74.008361,733.3,215.9,517.4
261 Broadway,10007,261,BROADWAY,Multifamily Housing,Multifamily Housing,112500.0,1906,1,100,66.1,70.3,5.9,0.5,2856.9,23.42,40.713696,-74.00672,530.8,291.4,239.3
"38-44 Warren Street, New York",10007,38,WARREN STREET,Multifamily Housing,Multifamily Housing,58196.0,1985,1,100,64.0,66.3,12.3,0.2,3913.4,53.09,40.714489,-74.008643,373.2,86.1,287.1
80 Warren St; 76 Warren St.,10007,76,WARREN STREET,Multifamily Housing,Multifamily Housing,69000.0,1915,1,100,60.4,64.2,4.8,0.5,1271.7,18.17,40.715103,-74.010003,272.0,161.4,110.6
295 Greenwich Street,10280,295,GREENWICH STREET,Multifamily Housing,Multifamily Housing,116600.0,1986,1,100,87.7,89.6,12.1,0.1,,,40.716012,-74.011017,878.3,384.1,494.2
"121 Reade Street, New York",10013,147,CHAMBERS STREET,Multifamily Housing,Multifamily Housing,118968.0,1997,1,100,106.2,109.2,8.0,0.4,3561.8,28.96,40.715817,-74.00987,936.9,612.0,325.0
303 Greenwich Street / 147-149 Reade Street,10007,165,CHAMBERS STREET,Multifamily Housing,Multifamily Housing,90473.0,1890,1,100,81.8,84.0,14.3,,,,40.716124,-74.010551,713.0,0.0,713.0
311 Greenwich St,10013,311,GREENWICH STREET,Multifamily Housing,Multifamily Housing,57567.0,1988,1,100,88.8,92.5,8.7,0.6,2910.7,43.99,40.716745,-74.010862,390.3,207.4,182.9
157 Chambers St,10007,157,CHAMBERS STREET,Multifamily Housing,Multifamily Housing,87324.0,1931,1,100,79.8,83.6,14.0,0.4,4509.3,48.8,40.715987,-74.010248,566.6,157.6,409.1
166 Duane Street,10013,166,DUANE STREET,Multifamily Housing,Multifamily Housing,111592.0,1910,1,100,74.5,78.9,9.2,0.5,4089.6,36.65,40.717036,-74.009354,586.1,248.7,337.4
165 Duane Street,10013,47,HUDSON STREET,Multifamily Housing,Multifamily Housing,69830.0,1910,1,100,57.3,59.9,7.9,0.3,2786.5,35.89,40.717316,-74.009062,318.1,126.3,191.8
55 Hudson St,10013,55,HUDSON STREET,Multifamily Housing,Multifamily Housing,97768.0,1900,1,100,52.3,55.3,5.9,0.4,,,40.717648,-74.009004,373.0,174.4,198.6
335 Greenwich Street,10013,335,GREENWICH STREET,Multifamily Housing,Multifamily Housing,51508.0,1929,1,100,94.5,100.0,5.4,0.8,1801.4,32.28,40.717939,-74.010559,321.0,225.2,95.9
"137 Duane Street, New York",10013,137,DUANE STREET,Multifamily Housing,Multifamily Housing,48948.0,1915,1,100,127.1,137.2,11.1,0.2,,,40.716281,-74.007691,727.9,461.9,266.0
71 Thomas Street,10013,71,THOMAS STREET,Office,Office,102304.0,1915,1,100,52.8,55.1,11.2,,1175.9,11.49,40.716965,-74.00759,463.7,0.0,463.7
277 Broadway,10007,277,BROADWAY,Other,Office,54036.0,1900,1,100,54.6,,4.2,0.5,1027.7,10.67,40.714349,-74.006172,335.4,208.3,127.1
57 Reade Street,10007,57,READE STREET,Multifamily Housing,Multifamily Housing,119369.0,2010,1,100,57.7,58.9,9.4,0.3,,,40.714879,-74.006345,625.6,193.0,432.6
299 Broadway,10007,299,BROADWAY,Office,Office,250564.0,1904,1,100,55.2,60.1,9.1,0.0,3941.1,14.57,40.715046,-74.005591,1271.0,493.6,777.4
"72 Reade Street, New York",10007,70,READE STREET,Multifamily Housing,Multifamily Housing,65000.0,1985,1,100,40.1,42.3,3.4,0.0,,,40.715095,-74.006782,191.4,6.1,185.3
"366 Broadway, New York",10013,364,BROADWAY,Multifamily Housing,Multifamily Housing,93629.0,1985,1,100,90.1,90.1,11.6,0.5,,,40.71747,-74.003503,641.3,270.5,370.8
376 BROADWAY,10013,374,BROADWAY,Multifamily Housing,Multifamily Housing,144375.0,1990,1,100,35.8,34.9,8.7,0.1,9539.2,66.07,40.717849,-74.003182,450.2,39.3,411.0
50 Franklin Street,10013,50,FRANKLIN STREET,Multifamily Housing,Multifamily Housing,91412.0,2007,1,100,82.4,85.5,13.5,0.4,3818.4,41.77,40.716951,-74.0025,568.6,174.3,394.3
73 Worth Street,10013,65,WORTH STREET,Multifamily Housing,Multifamily Housing,66834.0,1920,1,100,102.2,105.4,15.9,0.5,4951.4,48.62,40.716926,-74.005905,774.8,255.2,519.6
93 Worth Street,10013,335,BROADWAY,Multifamily Housing,Multifamily Housing,119200.0,1924,1,100,77.9,80.8,14.9,0.3,,,40.716344,-74.004495,787.5,184.7,602.8
365 BROADWAY,10013,365,BROADWAY,Multifamily Housing,Multifamily Housing,71550.0,1920,1,100,75.1,78.1,4.8,0.6,1506.6,21.06,40.717478,-74.003521,333.6,220.7,112.8
"90 Franklin Street, New York",10013,90,FRANKLIN STREET,Multifamily Housing,Multifamily Housing,98891.0,1985,1,100,58.5,62.4,6.9,0.0,,,40.718137,-74.005004,485.5,1.0,484.5
"90 Hudson Street, New York",10013,84,HUDSON STREET,Multifamily Housing,Multifamily Housing,51704.0,1915,1,100,58.5,61.9,6.7,0.4,,,40.718584,-74.00882,244.7,113.6,131.0
176 WEST BROADWAY,10013,176,WEST BROADWAY,Multifamily Housing,Multifamily Housing,48000.0,2009,1,100,98.7,103.1,16.9,0.5,2428.2,45.8,40.717887,-74.00737,400.1,114.3,285.8
"100 Hudson Street, New York",10013,100,HUDSON STREET,Multifamily Housing,Multifamily Housing,73954.0,1985,1,100,77.8,83.0,4.9,0.0,1371.2,17.57,40.71919,-74.008705,479.6,354.9,124.7
139 Franklin street,10013,139,FRANKLIN STREET,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,56000.0,1906,1,100,40.1,47.2,1.0,,306.5,5.47,40.719177,-74.007547,172.4,155.0,17.4
18 Leonard Street,10013,14,LEONARD STREET,Multifamily Housing,Multifamily Housing,84100.0,1915,1,100,65.5,67.2,11.2,0.3,2940.4,34.96,40.71874,-74.008124,420.0,122.0,298.0
"105 Hudson Street, New York",10013,105,HUDSON STREET,Multifamily Housing,Multifamily Housing,79804.0,1985,1,100,110.4,114.3,10.7,0.8,11820.2,121.47,40.719396,-74.00869,714.7,378.1,336.7
62 Beach Street,10013,387,GREENWICH STREET,Multifamily Housing,Multifamily Housing,70771.0,1915,1,100,103.8,107.8,13.8,0.6,2615.1,34.33,40.720285,-74.010144,565.3,225.3,340.0
53 North Moore Street,10004,53,NORTH MOORE STREET,Multifamily Housing,Multifamily Housing,80366.0,1999,1,100,69.1,70.4,15.3,0.2,8329.8,77.22,40.720006,-74.009008,620.1,95.4,524.7
48-60 BEACH ST,10130,48,BEACH STREET,Multifamily Housing,Multifamily Housing,66812.0,1905,1,100,55.8,58.6,8.7,0.3,,,40.720634,-74.008831,277.0,92.5,184.6
"20-26 North Moore Street, New York",10013,20,NORTH MOORE STREET,Multifamily Housing,Multifamily Housing,66918.0,1921,1,100,46.4,,4.1,0.2,,,40.719811,-74.007229,215.7,126.5,89.2
"6 Varick Street, New York",10013,220,WEST BROADWAY,Multifamily Housing,Multifamily Housing,59496.0,1985,1,100,101.5,,12.0,0.1,5486.9,85.74,40.719246,-74.006313,521.9,275.3,246.6
"31-37 North Moore Street, New York",10013,31,NORTH MOORE STREET,Multifamily Housing,Multifamily Housing,87719.0,1985,1,100,59.9,63.5,8.1,0.4,2626.4,26.96,40.719868,-74.007652,418.6,164.8,253.9
27 North Moore St. ,10013,27,NORTH MOORE STREET,Multifamily Housing,Multifamily Housing,163242.0,1905,1,100,75.2,77.9,13.6,0.3,5096.6,30.08,40.719855,-74.007486,992.0,253.9,738.1
"25 North Moore Street, New York",10013,25,NORTH MOORE STREET,Multifamily Housing,Multifamily Housing,125637.0,1985,1,100,47.9,50.1,11.2,0.1,3208.9,24.67,40.719847,-74.007403,527.3,68.8,458.5
"124 Hudson Street, New York",10013,124,HUDSON STREET,Multifamily Housing,Multifamily Housing,68427.0,2000,1,100,81.3,86.0,9.1,0.5,1738.7,21.38,40.720143,-74.008539,456.0,211.2,244.8
11 North Moore Street,10013,24,VARICK STREET,Multifamily Housing,Multifamily Housing,72127.0,2013,1,100,63.2,66.2,10.2,0.3,,,40.720338,-74.006703,340.2,110.8,229.4
395 Broadway,10013,395,BROADWAY,Multifamily Housing,Multifamily Housing,84400.0,1915,1,100,76.0,75.8,5.4,0.0,,,40.71845,-74.002702,615.9,435.8,180.1
100 Lafayette Street,10013,91,WALKER STREET,Office,Office,41903.0,1910,1,100,39.1,42.0,6.4,0.2,,,40.718046,-74.00127,174.8,54.5,120.3
101 Lafayette St.,10013,101,LAFAYETTE STREET,Office,Office,45500.0,1928,1,100,41.9,,,,,,40.717783,-74.001111,193.4,107.5,85.9
202 Canal St,10013,202,CANAL STREET,Office,Office,36280.0,1991,1,100,76.3,78.9,17.2,0.2,1151.2,21.69,40.717031,-73.998413,338.4,50.1,288.3
50 Bayard Street,10013,2,ELIZABETH STREET,Multifamily Housing,Multifamily Housing,240682.0,1985,1,100,52.7,56.5,1.0,,,,40.715529,-73.997601,966.3,889.4,76.9
158 Hester St.,10013,158,HESTER STREET,Multifamily Housing,Multifamily Housing,55330.0,2004,1,100,105.9,110.0,16.8,0.5,4580.0,46.15,40.717711,-73.996681,784.0,255.5,528.5
123 Baxter Street,10010,123,BAXTER STREET,Multifamily Housing,Multifamily Housing,54678.0,2003,1,100,61.2,63.7,8.6,0.3,1098.2,20.09,40.718161,-73.998918,243.5,89.6,153.9
129 Lafayette Street,10013,129,LAFAYETTE STREET,Multifamily Housing,Multifamily Housing,61750.0,1900,1,100,83.8,87.7,11.2,0.5,2595.1,42.03,40.718897,-74.000094,369.7,147.9,221.8
39 Avenue of the Americas,10013,2,YORK STREET,Hotel,Hotel,67870.0,2008,1,100,114.1,116.3,12.4,0.7,6877.0,101.33,40.721068,-74.005758,525.6,258.0,267.6
260 West Broadway,10013,260,WEST BROADWAY,Multifamily Housing,Multifamily Housing,153833.0,1915,1,100,50.9,54.2,4.7,0.4,3376.0,21.95,40.720404,-74.00544,517.1,280.7,236.4
145 Hudson St,10013,145,HUDSON STREET,Office,Office,57751.0,2004,1,100,106.9,111.4,16.5,0.0,3441.3,33.08,40.721073,-74.008398,934.1,381.3,552.8
"7 Hubert Street, New York",10013,7,HUBERT STREET,Multifamily Housing,Multifamily Housing,125674.0,2004,1,100,91.3,94.1,15.2,0.4,5680.5,44.15,40.721367,-74.008911,891.1,266.1,624.9
"161 Hudson Street, New York",10013,161,HUDSON STREET,Multifamily Housing,Multifamily Housing,58015.0,1930,1,100,80.8,86.0,8.7,0.6,2612.2,45.03,40.721798,-74.008272,319.5,154.9,164.6
415 Greenwich St,10013,415,GREENWICH STREET,Multifamily Housing,Multifamily Housing,176493.0,1913,1,100,70.2,72.8,12.8,0.3,5569.9,31.56,40.721562,-74.009885,961.8,251.0,710.8
157 Hudson Street,10013,157,HUDSON STREET,Multifamily Housing,Multifamily Housing,64231.0,1950,1,100,74.8,78.7,9.8,0.5,1962.0,30.55,40.721647,-74.008298,341.5,140.1,201.4
"79 Laight Street, New York",10013,79,LAIGHT STREET,Multifamily Housing,Multifamily Housing,100984.0,1985,1,100,55.6,57.9,7.7,0.3,2221.7,22.0,40.72221,-74.010722,406.4,152.9,253.5
